signal_id,date_detection_utc,date_publication,territoire,zone,theme,titre,source,url,resume,requete,statut_qualification,est_nouveau
046be2751f97e6bc03fc,2026-08-10T06:52:26Z,2026-06-01,06,Alpes-Maritimes,CHR général,Tous au restaurant : les belles tables des Alpes-Maritimes ouvrent leurs portes à prix réduit ! - Radio France,Radio France,https://news.google.com/rss/articles/CBMikwJBVV95cUxQZkNuU0NuVE1JMHd6YmkxbExMaXFWUWJiQk5nNDdLWFZ2R0lBOTh1b2VvYi0tUjM3M3RFRG1ZeGpuSGdaZFNhXzFoZDVCNi1vWGpsUllFeURGZ2FuWjlTc3JoUjVqMEJLN3VCM1o5elB3OWk5X0dOeEM3cHpGcktaMXJPRU5Fdkt3Ymp6R25sbENtVFVrUk84ZVJraXlSYzNCSGxnbjNBb1hZdUoyUkMxcFFNT3pEUlk0dHNpaG5HM25YNVNybTBvS1ZXVjgyaW1hY3R5NlcwV0RjOEVIZzhJblQ0N053MWNaQkZ5Z25FVXZOeVRDM0VadGVtMmczWUo3WjNMZ3RSWXlvVWRqUjdDN1FrZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxQZkNuU0NuVE1JMHd6YmkxbExMaXFWUWJiQk5nNDdLWFZ2R0lBOTh1b2VvYi0tUjM3M3RFRG1ZeGpuSGdaZFNhXzFoZDVCNi1vWGpsUllFeURGZ2FuWjlTc3JoUjVqMEJLN3VCM1o5elB3OWk5X0dOeEM3cHpGcktaMXJPRU5Fdkt3Ymp6R25sbENtVFVrUk84ZVJraXlSYzNCSGxnbjNBb1hZdUoyUkMxcFFNT3pEUlk0dHNpaG5HM25YNVNybTBvS1ZXVjgyaW1hY3R5NlcwV0RjOEVIZzhJblQ0N053MWNaQkZ5Z25FVXZOeVRDM0VadGVtMmczWUo3WjNMZ3RSWXlvVWRqUjdDN1FrZw?oc=5"" target=""_blank"">Tous au restaurant : les belles tables des Alpes-Maritimes ouvrent leurs portes à prix réduit !</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Radio France</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
517bcc53a7701c8af3c3,2026-08-10T06:52:26Z,2026-06-14,06,Alpes-Maritimes,CHR général,Bon plan : cet hôtel Hilton près de Nice ouvre sa piscine au public à un prix raisonnable - Actu.fr,Actu.fr,https://news.google.com/rss/articles/CBMi_AFBVV95cUxPSmNkUzVvaE50elZLYThjM2dLaXBhd3Z0ZVVJdDdsQUUwVHRBUWt2dDZuOXZ3ZzM5UEM5ejlsSHpNY3N0VWEyUlNlZ1g1UHYzMTNpSDBpX0xtck9Ebi1Yd2xsaWkzbnA0M1EzbjhIQUw3ZHZxMG9KMVRBWEJpelNJQkVnQmhSclA2eVdpWUp1eTRhZkJwQ2l6bTNRNFBpM1JYNWVqeXNzcmRMTEdMT0xwSHJOTlVhbkVpT293c1lSTG1nUVdrN3F5dHpPeVZ5ZkRDalNRYzdQenViVG9hTVp5THV0V0ItU3JXTmltbXFKZGlBam9sb00xOWtVQWo?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxPSmNkUzVvaE50elZLYThjM2dLaXBhd3Z0ZVVJdDdsQUUwVHRBUWt2dDZuOXZ3ZzM5UEM5ejlsSHpNY3N0VWEyUlNlZ1g1UHYzMTNpSDBpX0xtck9Ebi1Yd2xsaWkzbnA0M1EzbjhIQUw3ZHZxMG9KMVRBWEJpelNJQkVnQmhSclA2eVdpWUp1eTRhZkJwQ2l6bTNRNFBpM1JYNWVqeXNzcmRMTEdMT0xwSHJOTlVhbkVpT293c1lSTG1nUVdrN3F5dHpPeVZ5ZkRDalNRYzdQenViVG9hTVp5THV0V0ItU3JXTmltbXFKZGlBam9sb00xOWtVQWo?oc=5"" target=""_blank"">Bon plan : cet hôtel Hilton près de Nice ouvre sa piscine au public à un prix raisonnable</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Actu.fr</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
a43817375d8bcf989979,2026-08-10T06:52:26Z,2026-03-21,06,Alpes-Maritimes,CHR général,"Horaires des bureaux de vote, communes concernées, scrutin... Voici tout ce qu’il faut savoir sur le second tour des élections municipales dans les Alpes-Maritimes - Nice-Matin",Nice-Matin,https://news.google.com/rss/articles/CBMizgFBVV95cUxQUVJQb01lNXVnM2NDMklhQkdMeDB0NkNDVWg4YUFIZzlRNDByUFI1X2xaZFZQYnBzN2N1bk45N0MyWkxIYXpJQ2F4dDY5VnJZSkRHNEJ3WUYyZFp5ak4yUGdKZDh1bUxHMDJQeTlvM1YxNnhnR2dzVG1UdVNxdFRTRzdiVnZBcVdBSERrSlFKV1BJSzAxdTh5UU5XbHltMTNDbUwzQk51Y0pkUFdZOUpWdGV4aExwbFFyWHJXX1pzLVp0MjkzNTlPR1BfdXFMQQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQUVJQb01lNXVnM2NDMklhQkdMeDB0NkNDVWg4YUFIZzlRNDByUFI1X2xaZFZQYnBzN2N1bk45N0MyWkxIYXpJQ2F4dDY5VnJZSkRHNEJ3WUYyZFp5ak4yUGdKZDh1bUxHMDJQeTlvM1YxNnhnR2dzVG1UdVNxdFRTRzdiVnZBcVdBSERrSlFKV1BJSzAxdTh5UU5XbHltMTNDbUwzQk51Y0pkUFdZOUpWdGV4aExwbFFyWHJXX1pzLVp0MjkzNTlPR1BfdXFMQQ?oc=5"" target=""_blank"">Horaires des bureaux de vote, communes concernées, scrutin... Voici tout ce qu’il faut savoir sur le second tour des élections municipales dans les Alpes-Maritimes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nice-Matin</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
7cfa0d65b86d0ef8e216,2026-08-10T06:52:26Z,2026-03-11,06,Alpes-Maritimes,CHR général,Nice. Un restaurant japonais très réputé ouvre ses portes dans ce quartier - Actu.fr,Actu.fr,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQME9SajlLMXFNWGdLQlhTQTIzczVJaFBzZWd4c0ZaaXlodDI5YUkwZXY2MWhXZ3h6Z1Q5bHN1WkR6WndUQzdzODRlM2J3OEdadFJGdjZkWlR4ai1xYXEyT1ZkWHlDSHU1OUNYb1ViUG1VOS11b1lJNmFHWktSZGpwMlo0VXFuNl9EVk5CSzNRek9UN3BhZ01SRjhKLVFSdVBETWNnWmNRQmRrSTVqWV9qRDcxNjFaTXp6VDZnRklsWFFvV2xYQjZwdDBLUi1uZWJIWm1GRW51ak02cEFtY05YcTJqeThYUWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQME9SajlLMXFNWGdLQlhTQTIzczVJaFBzZWd4c0ZaaXlodDI5YUkwZXY2MWhXZ3h6Z1Q5bHN1WkR6WndUQzdzODRlM2J3OEdadFJGdjZkWlR4ai1xYXEyT1ZkWHlDSHU1OUNYb1ViUG1VOS11b1lJNmFHWktSZGpwMlo0VXFuNl9EVk5CSzNRek9UN3BhZ01SRjhKLVFSdVBETWNnWmNRQmRrSTVqWV9qRDcxNjFaTXp6VDZnRklsWFFvV2xYQjZwdDBLUi1uZWJIWm1GRW51ak02cEFtY05YcTJqeThYUWc?oc=5"" target=""_blank"">Nice. Un restaurant japonais très réputé ouvre ses portes dans ce quartier</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Actu.fr</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
479920669b974adb7381,2026-08-10T06:52:26Z,2026-01-11,06,Alpes-Maritimes,CHR général,"Muriel Robin sa nouvelle vie sur la Côte d'Azur et l'ouverture du restaurant ""La cantine de Jo"" - ici.fr",ici.fr,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPZmZxYm9fZ3doNmg1cHVsNTc2QkFhc0psZGk2QXdKcWE2amhjdnZobGlmM0ZudFJRX3p6VzVrQU1FcGlHV2N6QU0xNXZOc2FRLV95YzdlLXk1OERTM3NvSldlcVM0cldNZHoyMnpDWjhSWUY2TUVTSExhSG1ya2dKRU1CbHlMUTlfVkNvNTd6bHBudm1yYUhzTGFFcTM1YUNmMDBkQi1JMDlYa25FdnZIWDNjV2IweThETlJ4LWU2V0VsT3FQYU5WcTh3ZmVGb1l4Ny1OOUhYbzNncElpcGN5Tkc2amxjdjQ5WGlGWnd4emlyTUpZMzV3RE5B?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxPZmZxYm9fZ3doNmg1cHVsNTc2QkFhc0psZGk2QXdKcWE2amhjdnZobGlmM0ZudFJRX3p6VzVrQU1FcGlHV2N6QU0xNXZOc2FRLV95YzdlLXk1OERTM3NvSldlcVM0cldNZHoyMnpDWjhSWUY2TUVTSExhSG1ya2dKRU1CbHlMUTlfVkNvNTd6bHBudm1yYUhzTGFFcTM1YUNmMDBkQi1JMDlYa25FdnZIWDNjV2IweThETlJ4LWU2V0VsT3FQYU5WcTh3ZmVGb1l4Ny1OOUhYbzNncElpcGN5Tkc2amxjdjQ5WGlGWnd4emlyTUpZMzV3RE5B?oc=5"" target=""_blank"">Muriel Robin sa nouvelle vie sur la Côte d'Azur et l'ouverture du restaurant ""La cantine de Jo""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ici.fr</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
13aa09bb00cbbb4a456e,2026-08-10T06:52:26Z,2025-12-28,06,Alpes-Maritimes,CHR général,KFC franchit le cap des 400 restaurants en France avec une ouverture stratégique à Cagnes-sur-Mer - Toute la Franchise,Toute la Franchise,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNQldNUWdBWUVwdThNTHJ3aVlZNGNReWhieEJ2TkhFWXJScDItOVh5amQ5S21PU1ZldXpTZlpjME5Zb0JpbUFTSXJfZ3ZxMi1KNG9pY3hTVy04dmZIRTdSR01YU0RkNV9wY2ZJcWdGYUZxb2RieDBJZUlyMHloNEI2djlhVkpJTTNiU0dZ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxNQldNUWdBWUVwdThNTHJ3aVlZNGNReWhieEJ2TkhFWXJScDItOVh5amQ5S21PU1ZldXpTZlpjME5Zb0JpbUFTSXJfZ3ZxMi1KNG9pY3hTVy04dmZIRTdSR01YU0RkNV9wY2ZJcWdGYUZxb2RieDBJZUlyMHloNEI2djlhVkpJTTNiU0dZ?oc=5"" target=""_blank"">KFC franchit le cap des 400 restaurants en France avec une ouverture stratégique à Cagnes-sur-Mer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Toute la Franchise</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
cddd8b68e2434e40036f,2026-08-10T06:52:26Z,2025-12-17,06,Alpes-Maritimes,CHR général,Restauration rapide : 400e adresse en France pour KFC - Franchise Magazine,Franchise Magazine,https://news.google.com/rss/articles/CBMingFBVV95cUxNc2dRTXpNZE9NeWE2OW4yVF93bEQ5dUlBak9aQ1p0dlotcUw0c0RMeUQxVEdDc0R1ck0zQ0Z4dkVBcV9tbW5JYnN6cXNzZDRveEhadmlUYjE3dmtPR0xUSDBDRmpraFhfcS1tMy1KUUNsMmdZYklGdEhkNkk0eFgzNG9jZWhSNk5GNWo5NHNOdUV3VFVKazVNc3hkV2dMdw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNc2dRTXpNZE9NeWE2OW4yVF93bEQ5dUlBak9aQ1p0dlotcUw0c0RMeUQxVEdDc0R1ck0zQ0Z4dkVBcV9tbW5JYnN6cXNzZDRveEhadmlUYjE3dmtPR0xUSDBDRmpraFhfcS1tMy1KUUNsMmdZYklGdEhkNkk0eFgzNG9jZWhSNk5GNWo5NHNOdUV3VFVKazVNc3hkV2dMdw?oc=5"" target=""_blank"">Restauration rapide : 400e adresse en France pour KFC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Franchise Magazine</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
3c614ab0ff57c23d7d11,2026-08-10T06:52:26Z,2025-12-16,06,Alpes-Maritimes,CHR général,Economie - Cagnes-sur-Mer : KFC a ouvert son 400e restaurant en France - petitesaffiches.fr,petitesaffiches.fr,https://news.google.com/rss/articles/CBMiowFBVV95cUxPaEhHM05ST2YtZC1RdGtYNU1vS01MLTcwOHc5YWVNcGplckVDQll3QkxObjlDU2M4YndIU1dGQ2VMM3g1RG5PYm5mSlp5cnlCV0xLdTJDcXdlNm00Mmt3NnFrajlYclRDQlMzQUJiWkYxZFk2RHBEQXBBQ2N0TDJGcTJOY0VMeTJDMXlXaDVkcFdKRkluak8zci1yUUV4YndTS1FR?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxPaEhHM05ST2YtZC1RdGtYNU1vS01MLTcwOHc5YWVNcGplckVDQll3QkxObjlDU2M4YndIU1dGQ2VMM3g1RG5PYm5mSlp5cnlCV0xLdTJDcXdlNm00Mmt3NnFrajlYclRDQlMzQUJiWkYxZFk2RHBEQXBBQ2N0TDJGcTJOY0VMeTJDMXlXaDVkcFdKRkluak8zci1yUUV4YndTS1FR?oc=5"" target=""_blank"">Economie - Cagnes-sur-Mer : KFC a ouvert son 400e restaurant en France</a>&nbsp;&nbsp;<font color=""#6f6f6f"">petitesaffiches.fr</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
55150861b362e1f4d2cd,2026-08-10T06:52:26Z,2025-12-16,06,Alpes-Maritimes,CHR général,KFC célèbre son 400ᵉ restaurant et renforce son maillage territorial en France - Zepros Restauration,Zepros Restauration,https://news.google.com/rss/articles/CBMiugFBVV95cUxQRXRrTlJLM0doV2xqbUp4ZVdfZVF2NXVxNlZhTEF3REgzRFp0SHRVdDdFVTZ1cFp1c1phN3hNdmxqdEdmQ2JrSy1rSmdkNThIS1NGV2xDTXF5Y3RMZGNCdHJmcnAwZ3ljYmdvSnNRZl9SdFNYSlJSeHB1dUljMENrSVlET3BMNTFuUTcyTEUzSE5vcDNtUlJjTl9GMFR3Tk5kalE5NlJmRDZPZk5VVWtNcW9mQ3VZUll6dXc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQRXRrTlJLM0doV2xqbUp4ZVdfZVF2NXVxNlZhTEF3REgzRFp0SHRVdDdFVTZ1cFp1c1phN3hNdmxqdEdmQ2JrSy1rSmdkNThIS1NGV2xDTXF5Y3RMZGNCdHJmcnAwZ3ljYmdvSnNRZl9SdFNYSlJSeHB1dUljMENrSVlET3BMNTFuUTcyTEUzSE5vcDNtUlJjTl9GMFR3Tk5kalE5NlJmRDZPZk5VVWtNcW9mQ3VZUll6dXc?oc=5"" target=""_blank"">KFC célèbre son 400ᵉ restaurant et renforce son maillage territorial en France</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zepros Restauration</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
0e14dbb54d837395bf03,2026-08-10T06:52:26Z,2025-05-02,06,Alpes-Maritimes,CHR général,"Michelin 2025 : Francesco Fezza, la nouvelle sensation du Château de Théoule - L'Hôtellerie Restauration",L'Hôtellerie Restauration,https://news.google.com/rss/articles/CBMisAFBVV95cUxQU3Y5UjVaSXVOV0tTX1ljY0xQcjRDUzM0Z3dxMm10WWtQNEZ3aUhfNXVYWnl2QmxSMmQ5T3RaUDJMY21GZ0JNNzRpcC1jaXlkenFyZzk5a3hDWG90dzh2N0FDWTI4TTJtel9oQV9uMnpFd3hrUDlfYUViWE5wMjlqSUg2YlBFbzJqelZDV19aUHZSU2RudVg5RHM5VC10VmRDckQ2MXkwSGJ0MXJNaXV4Yw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQU3Y5UjVaSXVOV0tTX1ljY0xQcjRDUzM0Z3dxMm10WWtQNEZ3aUhfNXVYWnl2QmxSMmQ5T3RaUDJMY21GZ0JNNzRpcC1jaXlkenFyZzk5a3hDWG90dzh2N0FDWTI4TTJtel9oQV9uMnpFd3hrUDlfYUViWE5wMjlqSUg2YlBFbzJqelZDV19aUHZSU2RudVg5RHM5VC10VmRDckQ2MXkwSGJ0MXJNaXV4Yw?oc=5"" target=""_blank"">Michelin 2025 : Francesco Fezza, la nouvelle sensation du Château de Théoule</a>&nbsp;&nbsp;<font color=""#6f6f6f"">L'Hôtellerie Restauration</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,True
