date_utc,version,type,resultat,nouveaux_prospects,prospects_modifies,commentaire
2026-08-01T13:38:23Z,V5.1,Construction de la livraison,Succès,0,0,Ajout du suivi de fraîcheur. Aucun balayage externe automatique n'a été exécuté.
2026-08-03T08:48:36Z,V7.3,Veille hebdomadaire automatisée,Partiel,0,0,0 nouveau(x) signal(aux) à qualifier. Alpes-Maritimes: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22ouverture%22+restaurant+OR+h%C3%B4tel+OR+bar+Alpes-Maritimes&hl=fr&gl=FR&ceid=FR:fr; Nice: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22ouverture%22+restaurant+OR+bar+OR+rooftop+Nice&hl=fr&gl=FR&ceid=FR:fr; Cannes: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22ouverture%22+restaurant+OR+h%C3%B4tel+OR+plage+Cannes&hl=fr&gl=FR&ceid=FR:fr; Antibes: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22ouverture%22+restaurant+OR+h%C3%B4tel+OR+bar+Antibes&hl=fr&gl=FR&ceid=FR:fr; Menton: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22ouverture%22+restaurant+OR+h%C3%B4tel+OR+bar+Menton&hl=fr&gl=FR&ceid=FR:fr
